-- id, data, cliente, sistema
"140","2016-03-18","140","7"
"141","2005-08-05","141","9"
"142","1998-09-19","142","3"
"143","2014-02-03","143","1"
"144","1979-08-03","144","6"
"145","1991-07-23","145","2"
"146","1975-05-02","146","6"
"147","2013-10-23","147","1"
"148","1978-12-26","148","1"
"149","2020-01-24","149","9"
"150","2012-09-26","150","6"
"151","2010-04-14","151","4"
"152","1999-06-15","152","1"
"153","2002-01-17","153","3"
"154","2016-11-14","154","2"
"155","2010-09-25","155","5"
"156","2018-03-28","156","1"
"157","1987-06-29","157","6"
"158","1971-11-01","158","4"
"159","1972-02-09","159","9"
"160","1978-03-29","160","5"
"161","1980-12-31","161","1"
"162","2020-05-10","162","3"
"163","1971-09-29","163","6"
"164","1995-04-24","164","2"
"165","2006-08-03","165","5"
"166","1986-01-24","166","7"
"167","2008-05-29","167","8"
"168","1989-12-26","168","9"
"169","2008-02-14","169","8"
"170","2007-07-06","170","9"
"171","1992-05-09","171","8"
"172","1980-02-28","172","2"
"173","2009-05-13","173","7"
"174","1973-08-06","174","8"
"175","1981-02-08","175","5"
"176","1980-05-13","176","3"
"177","2002-10-25","177","6"
"178","2003-09-06","178","1"
"179","1980-07-22","179","9"
"180","1982-10-31","180","5"
"181","1992-02-27","181","9"
"182","1989-11-12","182","5"
"183","1997-08-10","183","2"
"184","2019-10-10","184","2"
"185","1976-05-29","185","1"
"186","2001-12-30","186","9"
"187","1999-12-25","187","9"
"188","1981-11-24","188","9"
"189","1973-05-26","189","8"
"190","1998-08-12","190","3"
"191","1989-02-02","191","6"
"192","1975-11-15","192","1"
"193","1973-04-14","193","5"
"194","1991-09-22","194","5"
"195","1984-03-02","195","5"
"196","1974-01-15","196","4"
"197","2004-10-03","197","2"
"198","1992-08-08","198","8"
"199","1996-10-11","199","4"
"200","2015-04-12","200","7"
"201","1982-08-31","201","9"
"202","1984-02-18","202","3"
"203","1976-07-15","203","1"
"204","1984-05-30","204","8"
"205","1972-05-30","205","4"
"206","1990-01-25","206","5"
"207","1984-04-12","207","4"
"208","1990-10-20","208","3"
"209","2013-06-07","209","5"
"210","1980-06-14","210","2"
"211","2003-12-16","211","2"
"212","1982-04-05","212","5"
"213","2018-02-22","213","7"
"214","2005-07-28","214","1"
"215","2000-04-30","215","9"
"216","1989-11-28","216","4"
"217","2001-03-16","217","3"
"218","1985-08-08","218","3"
"219","1978-11-25","219","6"
"220","2001-08-17","220","9"
"221","1992-01-25","221","9"
"222","2001-12-26","222","7"
"223","2000-03-30","223","1"
"224","2011-04-24","224","9"
"225","1997-08-14","225","1"
"226","1999-10-17","226","1"
"227","1998-02-24","227","2"
"228","2018-04-21","228","9"
"229","1985-06-22","229","9"
"230","2019-09-28","230","6"
"231","1978-06-07","231","2"
"232","1984-06-15","232","6"
"233","1973-04-15","233","8"
"234","2015-02-19","234","7"
"235","2014-01-14","235","3"
"236","1999-04-29","236","5"
"237","2003-03-03","237","5"
"238","1995-09-19","238","3"
"239","1990-05-27","239","2"
"240","1988-12-14","240","9"
"241","2020-12-09","241","3"
"242","1971-04-01","242","9"
"243","2017-09-26","243","6"
"244","1995-04-20","244","1"
"245","1999-05-23","245","7"
"246","1972-04-12","246","9"
"247","1974-10-13","247","4"
"248","2019-07-30","248","4"
"249","1989-11-07","249","5"
"250","2013-11-01","250","3"
"251","1978-11-12","251","6"
"252","1997-06-24","252","9"
"253","2016-07-09","253","4"
"254","1995-10-25","254","5"
"255","1985-09-22","255","7"
"256","1992-11-25","256","2"
"257","1984-08-07","257","8"
"258","2009-04-22","258","7"
"259","1976-12-03","259","3"
"260","2018-02-02","260","8"
"261","1983-11-24","261","5"
"262","2018-03-27","262","3"
"263","2005-09-24","263","6"
"264","2018-05-30","264","4"
"265","1970-09-05","265","6"
"266","2000-11-21","266","6"
"267","2013-03-16","267","9"
"268","1997-04-28","268","1"
"269","2009-08-12","269","1"
"270","2003-09-14","270","2"
"271","1989-03-07","271","1"
"272","2009-12-21","272","2"
"273","1982-11-29","273","8"
"274","2000-07-18","274","3"
"275","2000-04-02","275","7"
"276","2006-06-19","276","2"
"277","1978-09-11","277","5"
"278","1979-03-01","278","1"
"279","1976-11-05","279","4"
"280","1999-04-23","280","4"
"281","2008-12-02","281","2"
"282","2007-11-20","282","6"
"283","2020-06-17","283","4"
"284","2010-01-28","284","9"
"285","1980-03-15","285","6"
"286","1993-05-19","286","9"
"287","2003-08-21","287","4"
"288","1981-08-08","288","8"
"289","1976-03-10","289","9"
"290","1983-08-17","290","5"
"291","1978-08-04","291","5"
"292","2014-03-03","292","8"
"293","2007-09-19","293","1"
"294","1972-12-15","294","5"
"295","2020-01-05","295","1"
"296","1974-04-30","296","1"
"297","1986-04-17","297","5"
"298","1999-10-07","298","4"
"299","1994-03-31","299","5"
"300","2003-09-16","300","4"
"301","1971-01-02","301","5"
"302","1974-04-14","302","8"
"303","1976-01-16","303","7"
"304","1994-06-02","304","2"
"305","1980-11-01","305","8"
"306","2003-12-14","306","2"
"307","2009-11-18","307","5"
"308","1999-06-14","308","9"
"309","1974-12-27","309","7"
"310","1993-05-09","310","9"
"311","2015-08-12","311","7"
"312","1971-08-11","312","5"
"313","1984-01-11","313","5"
"314","2001-06-30","314","4"
"315","2001-09-20","315","7"
"316","1983-05-13","316","9"
"317","2019-09-04","317","9"
"318","1970-04-29","318","9"
"319","2020-11-14","319","4"
"320","1983-05-17","320","1"
"321","2015-01-01","321","2"
"322","2005-03-06","322","4"
"323","1971-02-06","323","5"
"324","1970-03-13","324","3"
"325","2019-07-19","325","7"
"326","1994-11-05","326","8"
"327","1977-09-30","327","7"
"328","2014-11-18","328","5"
"329","2006-07-11","329","2"
"330","1995-06-27","330","6"
"331","2012-01-22","331","2"
"332","1984-11-26","332","6"
"333","1994-05-01","333","4"
"334","1978-05-16","334","3"
"335","1977-10-22","335","3"
"336","2016-01-03","336","2"
"337","2004-01-09","337","6"
"338","1994-09-14","338","2"
"339","1988-02-07","339","1"
"340","1980-07-27","340","3"
"341","1998-04-29","341","5"
"342","2017-05-12","342","4"
"343","1988-04-15","343","4"
"344","1999-12-26","344","4"
"345","1978-07-24","345","1"
"346","1974-06-13","346","7"
"347","2017-07-22","347","8"
"348","1985-06-21","348","3"
"349","1970-11-08","349","2"
"350","1999-03-15","350","4"
"351","1993-03-25","351","8"
"352","2002-03-18","352","9"
"353","1993-10-12","353","3"
"354","1986-08-21","354","8"
"355","2005-08-19","355","3"
"356","1986-10-24","356","5"
"357","1981-01-06","357","9"
"358","1995-05-26","358","3"
"359","2012-01-09","359","7"
"360","2003-11-16","360","7"
"361","1992-01-16","361","1"
"362","2009-05-31","362","3"
"363","1971-03-06","363","8"
"364","1991-10-10","364","6"
"365","1990-12-18","365","8"
"366","1979-01-15","366","1"
"367","1992-01-05","367","1"
"368","1985-07-05","368","9"
"369","2008-05-21","369","7"
"370","1974-12-24","370","7"
"371","2019-01-05","371","7"
"372","1998-04-30","372","5"
"373","1973-07-19","373","7"
"374","1999-10-06","374","4"
"375","1981-02-22","375","5"
"376","1977-09-02","376","8"
"377","2006-12-20","377","4"
"378","2015-09-27","378","6"
"379","2009-02-02","379","1"
"380","1984-02-26","380","3"
"381","1971-03-08","381","4"
"382","1995-08-02","382","8"
"383","2011-12-15","383","9"
"384","1989-08-16","384","6"
"385","1996-08-09","385","2"
"386","1993-09-09","386","8"
"387","1985-10-14","387","7"
"388","2002-02-14","388","4"
"389","2000-05-24","389","6"
"390","1982-02-16","390","7"
"391","1990-10-04","391","3"
"392","1970-04-29","392","4"
"393","1999-04-11","393","1"
"394","1971-08-23","394","5"
"395","2002-10-01","395","4"
"396","1978-07-19","396","2"
"397","2007-10-13","397","8"
"398","2008-08-31","398","2"
"399","1985-09-06","399","3"
"400","2001-07-25","400","8"
"401","1998-01-11","401","1"
"402","1987-12-12","402","5"
"403","1980-01-12","403","6"
"404","1971-10-13","404","6"
"405","1991-12-10","405","3"
"406","1981-04-03","406","2"
"407","1984-08-24","407","3"
"408","1998-10-12","408","7"
"409","2002-08-04","409","6"
"410","1993-12-28","410","6"
"411","1997-03-21","411","4"
"412","2010-08-23","412","1"
"413","1988-07-07","413","3"
"414","1971-11-25","414","6"
"415","1975-07-03","415","7"
"416","1984-07-28","416","4"
"417","2018-02-03","417","8"
"418","2018-10-25","418","9"
"419","2017-02-05","419","4"
"420","1997-07-29","420","2"
"421","1972-07-17","421","9"
"422","1974-09-22","422","7"
"423","1973-02-23","423","2"
"424","2013-07-14","424","7"
"425","1997-09-24","425","4"
"426","1981-10-22","426","1"
"427","1998-11-17","427","6"
"428","2012-01-01","428","5"
"429","1991-03-31","429","1"
"430","1978-03-18","430","2"
"431","1974-09-30","431","5"
"432","1981-03-14","432","2"
"433","1997-04-30","433","6"
"434","2004-01-10","434","8"
"435","2006-06-15","435","2"
"436","1982-12-27","436","9"
"437","1989-08-13","437","9"
"438","1989-08-22","438","5"
"439","2000-06-05","439","9"
"440","1974-10-09","440","6"
"441","2013-06-23","441","8"
"442","2007-08-31","442","5"
"443","1999-05-22","443","6"
"444","2004-09-19","444","5"
"445","1994-01-06","445","3"
"446","2001-08-23","446","9"
"447","1996-01-25","447","5"
"448","2015-05-17","448","1"
"449","1988-09-15","449","9"
"450","2015-06-23","450","6"
"451","2009-04-26","451","1"
"452","2007-03-23","452","8"
"453","1997-06-17","453","8"
"454","1999-08-28","454","5"
"455","2020-08-06","455","6"
"456","2006-05-26","456","9"
"457","2005-12-27","457","4"
"458","2001-06-14","458","5"
"459","2007-07-03","459","8"
"460","1971-02-20","460","5"
"461","1995-05-10","461","9"
"462","1978-03-01","462","4"
"463","1980-05-02","463","6"
"464","1988-12-05","464","9"
"465","1998-10-30","465","8"
"466","2008-08-22","466","3"
"467","2006-05-15","467","6"
"468","1970-12-17","468","9"
"469","1982-03-26","469","3"
"470","1986-07-19","470","9"
"471","2018-03-22","471","2"
"472","1970-04-13","472","3"
"473","1981-11-04","473","6"
"474","1992-10-10","474","3"
"475","2006-05-06","475","6"
"476","1980-01-06","476","9"
"477","1978-07-02","477","7"
"478","1984-10-03","478","3"
"479","2002-09-13","479","8"
"480","1997-08-10","480","3"
"481","1990-04-03","481","1"
"482","1978-08-23","482","6"
"483","2001-08-10","483","5"
"484","1990-09-26","484","3"
"485","1977-08-26","485","9"
"486","1977-11-03","486","5"
"487","2015-08-23","487","2"
"488","2009-05-08","488","6"
"489","2003-02-14","489","1"
"490","2001-12-02","490","7"
"491","1992-04-18","491","3"
"492","2019-09-18","492","5"
"493","2000-07-17","493","3"
"494","1976-04-30","494","9"
"495","1987-02-01","495","5"
"496","2013-07-20","496","6"
"497","1989-06-15","497","4"
"498","2013-10-24","498","1"
"499","1992-02-26","499","1"
"500","2004-01-07","500","8"
"501","1977-08-02","501","7"
"502","2012-01-23","502","8"
"503","1986-11-12","503","8"
"504","2018-10-27","504","8"
"505","1995-11-27","505","5"
"506","1979-03-13","506","1"
"507","1984-02-20","507","8"
"508","1993-01-24","508","9"
"509","2002-03-25","509","6"
"510","1998-08-26","510","2"
"511","2005-05-10","511","4"
"512","2010-01-21","512","3"
"513","2014-05-27","513","6"
"514","1976-12-05","514","1"
"515","1986-05-16","515","5"
"516","1972-01-19","516","5"
"517","2013-01-05","517","5"
"518","1993-04-23","518","7"
"519","1993-03-17","519","5"
"520","2009-09-14","520","2"
"521","1998-01-18","521","5"
"522","1990-07-03","522","9"
"523","2003-09-08","523","3"
"524","2010-07-24","524","1"
"525","1996-12-09","525","8"
"526","2013-04-09","526","4"
"527","2000-09-13","527","2"
"528","1981-09-17","528","6"
"529","2018-10-21","529","7"
"530","1979-12-14","530","9"
"531","1984-08-06","531","4"
"532","1973-06-28","532","3"
"533","1982-09-15","533","2"
"534","1993-08-04","534","5"
"535","2002-09-15","535","8"
"536","1995-05-07","536","4"
"537","2015-04-29","537","9"
"538","2011-10-20","538","6"
"539","1987-02-28","539","2"
"540","1983-08-22","540","5"
"541","2017-12-03","541","9"
"542","2010-03-05","542","9"
"543","1975-04-12","543","5"
"544","1970-07-03","544","1"
"545","1973-06-21","545","9"
"546","1983-04-01","546","1"
"547","2005-01-08","547","6"
"548","1982-02-17","548","1"
"549","1981-06-07","549","7"
"550","1970-09-19","550","9"
"551","1970-06-27","551","6"
"552","2006-07-06","552","6"
"553","1973-11-06","553","6"
"554","1970-10-02","554","4"
"555","1982-03-24","555","7"
"556","1980-12-07","556","6"
"557","1987-11-22","557","6"
"558","1973-10-04","558","9"
"559","1988-08-30","559","6"
"560","2009-01-09","560","9"
"561","1972-01-04","561","6"
"562","1978-07-02","562","5"
"563","1987-11-20","563","2"
"564","1997-11-06","564","9"
"565","1981-10-30","565","8"
"566","1970-09-18","566","3"
"567","1994-05-28","567","2"
"568","1991-04-17","568","3"
"569","1995-09-06","569","8"
"570","1978-07-21","570","4"
"571","2000-02-02","571","1"
"572","2006-05-14","572","8"
"573","2018-05-18","573","9"
"574","2015-12-10","574","1"
"575","1988-11-25","575","1"
"576","2002-04-11","576","1"
"577","2008-07-21","577","3"
"578","2014-07-28","578","5"
"579","1992-04-18","579","4"
"580","1988-08-14","580","3"
"581","1984-11-06","581","8"
"582","1991-04-16","582","9"
"583","1998-09-19","583","7"
"584","2008-11-13","584","1"
"585","2007-09-24","585","3"
"586","1989-03-21","586","1"
"587","1970-01-07","587","4"
"588","2009-11-18","588","8"
"589","1986-01-06","589","7"
"590","2012-11-10","590","3"
"591","2004-10-04","591","3"
"592","1971-08-22","592","2"
"593","1988-10-05","593","7"
"594","1989-10-07","594","6"
"595","1998-04-01","595","6"
"596","1975-04-24","596","5"
"597","1991-11-27","597","2"
"598","1977-05-08","598","9"
"599","1995-09-01","599","4"
"600","1976-04-03","600","5"
"601","1975-04-21","601","8"
"602","2018-10-04","602","5"
"603","1981-03-15","603","5"
"604","1982-02-18","604","6"
"605","2015-04-21","605","5"
"606","2008-06-30","606","1"
"607","2015-08-26","607","4"
"608","1992-11-08","608","1"
"609","1983-10-27","609","7"
"610","2003-10-22","610","1"
"611","1976-07-20","611","3"
"612","1992-08-14","612","9"
"613","1978-05-01","613","2"
"614","2005-08-20","614","4"
"615","1976-10-07","615","9"
"616","2000-09-27","616","1"
"617","1978-09-02","617","7"
"618","2017-08-19","618","5"
"619","2003-09-19","619","5"
"620","2013-04-08","620","7"
"621","1986-03-06","621","3"
"622","1998-07-14","622","6"
"623","1995-01-07","623","1"
"624","1984-08-19","624","5"
"625","1977-08-11","625","3"
"626","2012-10-28","626","2"
"627","1999-12-20","627","7"
"628","2002-04-13","628","1"
"629","1977-02-21","629","2"
"630","1975-04-11","630","5"
"631","1994-08-12","631","8"
"632","2001-03-26","632","2"
"633","2020-08-03","633","5"
"634","1995-09-21","634","5"
"635","1987-09-30","635","2"
"636","1996-07-28","636","6"
"637","2019-12-30","637","9"
"638","2008-10-26","638","2"
"639","1981-01-21","639","4"
"640","1981-05-10","640","9"
"641","1997-09-18","641","7"
"642","1981-12-12","642","6"
"643","1984-04-10","643","6"
"644","2016-10-29","644","2"
"645","1993-07-08","645","7"
"646","1989-07-20","646","9"
"647","1998-07-21","647","3"
"648","2013-08-31","648","1"
"649","2007-06-08","649","9"
"650","2014-10-27","650","4"
"651","2006-02-02","651","7"
"652","1972-07-28","652","5"
"653","2019-12-26","653","4"
"654","2001-12-25","654","8"
"655","1996-04-10","655","3"
"656","1999-03-14","656","2"
"657","2012-10-17","657","8"
"658","2016-08-17","658","8"
"659","2010-02-07","659","6"
"660","2009-02-01","660","3"
"661","1999-11-05","661","8"
"662","1995-06-24","662","2"
"663","1991-07-02","663","2"
"664","1980-01-14","664","5"
"665","1974-05-16","665","4"
"666","2005-10-13","666","6"
"667","2007-10-09","667","5"
"668","1975-12-08","668","8"
"669","1997-10-27","669","7"
"670","2000-12-20","670","3"
"671","2002-10-19","671","9"
"672","2008-10-09","672","9"
"673","1985-07-09","673","3"
"674","1986-05-15","674","3"
"675","2014-02-14","675","8"
"676","2015-12-19","676","4"
"677","2013-02-12","677","9"
"678","2018-01-31","678","4"
"679","2010-06-12","679","3"
"680","2015-09-07","680","4"
"681","2007-12-16","681","7"
"682","1984-06-27","682","5"
"683","2004-09-28","683","2"
"684","2006-04-14","684","3"
"685","1992-04-04","685","7"
"686","1973-09-19","686","6"
"687","2000-10-03","687","7"
"688","2008-09-19","688","3"
"689","1974-11-06","689","1"
"690","1994-01-15","690","9"
"691","2007-07-22","691","5"
"692","1989-10-02","692","9"
"693","2013-11-01","693","5"
"694","1978-02-07","694","4"
"695","1981-02-04","695","9"
"696","2018-07-07","696","2"
"697","1998-12-11","697","1"
"698","1994-03-02","698","7"
"699","1991-02-22","699","7"
"700","2015-08-24","700","9"
"701","2015-07-08","701","8"
"702","2018-03-01","702","4"
"703","1992-06-27","703","7"
"704","2016-08-04","704","6"
"705","2009-11-24","705","8"
"706","1992-02-09","706","4"
"707","1995-05-28","707","5"
"708","1979-09-20","708","2"
"709","2007-03-30","709","5"
"710","1973-10-17","710","9"
"711","2008-08-01","711","3"
"712","1996-08-18","712","2"
"713","1993-02-21","713","8"
"714","2009-06-20","714","3"
"715","1990-02-28","715","9"
"716","1993-04-30","716","8"
"717","2008-10-11","717","5"
"718","1972-03-20","718","5"
"719","2020-03-11","719","7"
"720","1970-10-16","720","4"
"721","1985-03-28","721","5"
"722","1997-08-21","722","5"
"723","1988-03-04","723","4"
"724","2004-05-13","724","5"
"725","2019-02-10","725","5"
"726","2013-06-19","726","7"
"727","1997-09-10","727","7"
"728","1990-04-17","728","9"
"729","1986-11-06","729","4"
"730","2005-02-19","730","8"
"731","2007-04-09","731","9"
"732","2016-08-03","732","8"
"733","2003-10-15","733","1"
"734","2004-04-14","734","5"
"735","1974-12-16","735","1"
"736","2011-07-04","736","4"
"737","1986-03-02","737","3"
"738","2010-03-25","738","5"
"739","1990-02-25","739","5"
"740","1988-12-29","740","5"
"741","1994-04-25","741","1"
"742","1971-05-11","742","7"
"743","2009-03-22","743","9"
"744","1980-01-17","744","5"
"745","2018-12-06","745","4"
"746","1974-11-02","746","4"
"747","2016-08-30","747","8"
"748","1970-11-25","748","7"
"749","2008-10-03","749","2"
"750","1991-06-22","750","1"
"751","1973-05-14","751","4"
"752","2018-01-05","752","3"
"753","2011-10-18","753","2"
"754","2006-10-23","754","2"
"755","1977-11-09","755","9"
"756","1984-05-14","756","7"
"757","2012-02-18","757","9"
"758","1972-04-12","758","7"
"759","2016-11-06","759","4"
"760","1980-04-14","760","1"
"761","2005-01-30","761","1"
"762","2019-01-27","762","9"
"763","2003-10-30","763","8"
"764","1997-01-31","764","8"
"765","1984-08-30","765","5"
"766","1975-01-31","766","1"
"767","1989-04-05","767","1"
"768","1973-04-30","768","7"
"769","2004-03-11","769","7"
"770","1976-12-08","770","1"
"771","2002-10-22","771","5"
"772","2007-05-09","772","7"
"773","1977-11-24","773","6"
"774","1998-04-26","774","3"
"775","2001-06-02","775","3"
"776","2006-04-11","776","3"
"777","1999-11-09","777","9"
"778","1973-03-02","778","7"
"779","2007-05-28","779","8"
"780","2009-05-27","780","5"
"781","1995-06-17","781","8"
"782","1996-12-21","782","3"
"783","2001-07-24","783","9"
"784","1970-03-15","784","5"
"785","2011-08-04","785","1"
"786","1998-10-24","786","1"
"787","1986-01-26","787","9"
"788","1997-08-23","788","4"
"789","1976-04-15","789","7"
"790","2008-12-03","790","1"
"791","1980-01-04","791","8"
"792","2018-10-31","792","7"
"793","2009-10-28","793","7"
"794","2018-07-20","794","4"
"795","2003-04-09","795","4"
"796","1988-04-19","796","8"
"797","2015-12-18","797","9"
"798","1972-12-31","798","6"
"799","1998-07-10","799","7"
"800","2007-01-26","800","2"
"801","1997-04-20","801","2"
"802","2006-02-15","802","5"
"803","2005-01-20","803","3"
"804","1971-02-03","804","3"
"805","1973-06-26","805","8"
"806","1994-05-15","806","9"
"807","2011-07-18","807","4"
"808","2007-03-27","808","2"
"809","1975-07-30","809","5"
"810","1981-08-17","810","5"
"811","2011-03-06","811","7"
"812","1994-09-05","812","9"
"813","2013-02-17","813","6"
"814","2015-06-30","814","8"
"815","1996-08-03","815","8"
"816","1997-12-29","816","5"
"817","1987-09-03","817","8"
"818","2012-01-06","818","6"
"819","1971-07-30","819","5"
"820","1995-02-07","820","9"
"821","1984-10-04","821","7"
"822","2012-10-16","822","6"
"823","1983-03-12","823","9"
"824","1971-12-08","824","7"
"825","1972-08-18","825","6"
"826","2019-01-22","826","1"
"827","1988-09-12","827","6"
"828","1991-10-26","828","1"
"829","1994-03-19","829","1"
"830","2020-07-21","830","4"
"831","1971-05-05","831","8"
"832","1994-11-02","832","8"
"833","2018-08-22","833","6"
"834","2007-10-13","834","3"
"835","2001-01-03","835","5"
"836","2009-05-15","836","2"
"837","1992-06-22","837","7"
"838","2011-04-17","838","5"
"839","1976-10-05","839","9"
"840","1982-06-26","840","8"
"841","2011-12-09","841","6"
"842","2014-11-28","842","1"
"843","1972-06-08","843","7"
"844","2010-06-20","844","1"
"845","1975-11-30","845","4"
"846","1976-08-07","846","7"
"847","1981-11-22","847","9"
"848","1998-10-22","848","3"
"849","1972-01-18","849","2"
"850","1990-08-27","850","4"
"851","2008-04-12","851","3"
"852","2018-04-17","852","1"
"853","1998-06-12","853","4"
"854","1997-08-16","854","6"
"855","2008-08-22","855","3"
"856","1999-04-03","856","1"
"857","1974-07-11","857","9"
"858","2008-08-08","858","3"
"859","2017-01-17","859","9"
"860","2018-10-16","860","3"
"861","1992-08-10","861","3"
"862","1984-01-16","862","3"
"863","2015-05-01","863","1"
"864","2016-05-29","864","3"
"865","2009-09-10","865","5"
"866","1978-10-24","866","4"
"867","1996-05-12","867","7"
"868","1996-09-23","868","1"
"869","1979-09-25","869","6"
"870","1982-09-26","870","5"
"871","1982-12-18","871","6"
"872","1983-05-22","872","8"
"873","1995-04-09","873","7"
"874","2006-02-07","874","4"
"875","2002-03-27","875","1"
"876","1984-02-21","876","3"
"877","2007-01-21","877","4"
"878","1983-05-31","878","1"
"879","1984-08-07","879","1"
"880","1980-11-02","880","2"
"881","1985-01-22","881","7"
"882","1976-09-23","882","7"
"883","1990-11-23","883","4"
"884","1995-03-27","884","5"
"885","1994-07-15","885","4"
"886","1972-03-17","886","7"
"887","2008-06-14","887","2"
"888","2013-07-07","888","7"
"889","2014-09-22","889","7"
"890","1997-12-31","890","7"
"891","1982-12-13","891","5"
"892","1972-10-06","892","2"
"893","1997-03-18","893","6"
"894","1977-03-20","894","2"
"895","1974-05-19","895","7"
"896","1976-09-23","896","6"
"897","2016-01-22","897","4"
"898","1990-05-13","898","1"
"899","1999-03-05","899","1"
"900","1999-09-27","900","5"
"901","2017-05-10","901","5"
"902","1978-06-08","902","4"
"903","1994-07-12","903","3"
"904","1989-10-22","904","6"
"905","1985-02-11","905","3"
"906","1982-01-28","906","5"
"907","1990-01-26","907","1"
"908","1984-12-21","908","6"
"909","1971-08-22","909","5"
"910","2006-08-13","910","3"
"911","2017-07-19","911","9"
"912","1995-05-24","912","6"
"913","1999-11-19","913","2"
"914","2006-03-17","914","7"
"915","1995-08-03","915","8"
"916","1976-07-10","916","3"
"917","1986-03-23","917","5"
"918","2012-03-02","918","4"
"919","1973-07-06","919","4"
"920","2002-03-11","920","5"
"921","2003-07-28","921","9"
"922","1975-05-12","922","9"
"923","1989-12-24","923","1"
"924","2011-06-01","924","2"
"925","2014-03-24","925","1"
"926","1981-02-23","926","2"
"927","2016-05-02","927","5"
"928","1997-05-26","928","8"
"929","1988-04-12","929","6"
"930","1970-06-27","930","6"
"931","2005-01-08","931","5"
